ID; Beskrivelse; adresse; kvadratmeter; pris;pris per kvadratmeter ; totalpris ; fellesutgifter; megler 
174376599 ; Bjergsted - Strøken, nyoppusset 3-romsleilighet med parkeringsplass på tomt og terrasse. Sentral beliggenhet. ; Tanke Svilands gate 67, Stavanger ; 50 m² ; 1690000 kr; 33800 ; Totalpris: 1 743 792 kr;0 ; PrivatMegleren Haferkamp & Partnere
170157514 ; MADLA / GOSEN - PÅMELDINGSVISNING! Påkostet enebolig i ettertraktet område. Pent opparbeidet tomt. 3 soverom. 3 bad. 2 stuer. ; Gosenbakken 5, Hafrsfjord ; 157 m² ; 7125000 kr; 45382 ; Totalpris: 7 304 467 kr;0 ; Krogsveen avd. Stavanger Øst
174361721 ; Gausel/ Frøystad - Stor og innholdsrik leilighet like i nærheten av Gandsfjorden - 1 Soverom - 1 kontor - Stor balkong - Carport ; Frøystadveien 32, Stavanger ; 104 m² ; 3490000 kr; 33558 ; Totalpris: 3 586 270 kr ; 1 297 kr ; Eie Eiendomsmegling - Rogaland Eiendomsmegling AS
168531184 ; Ny pris ! Vestre platå /Eiganes - Fin leilighet med god standard - 1 etg -  2 soverom - Bud ønskes. ; Niels Juels gate 68, Stavanger ; 81 m² ; 2470000 kr; 30494 ; Totalpris: 2 543 292 kr;0 ; Aktiv Stavanger
172278360 ; Madla - Lekker og påkostet enebolig fra 2014 med attraktiv beliggenhet i blindvei - Dobbel garasje ; Skjalgsbakken 36, Hafrsfjord ; 176 m² ; 7950000 kr; 45170 ; EiendomsMegler 1 Madla;0 ; Eier (Selveier) • Enebolig • 3 soverom
174251377 ; Verven - Toppleilighet med ekstra takhøyde. Arealeffektiv planløsning og sentral plassering. Innvendig parkeringsplass medfølger! ; Verven 2B, Stavanger ; 32 m² ; 1950000 kr; 60938 ; Totalpris: 1 999 920 kr ; 1 698 kr ; EiendomsMegler 1 Mariero
174217608 ; Ny toppleilighet med nydelig utsikt - 2 garasjeplasser-  3 soverom, 2 bad og 2 balkonger - Gangavstand til sentrum ; Byfjordparken 4 H0702, Stavanger ; 128 m² ; 10900000 kr; 85156 ; Totalpris: 10 925 170 kr ; 3 504 kr ; EiendomsMegler 1 Madla
94070145 ; Østhusvik. Stor enebolig i høyden. Fritt og landlig med fantastisk utsikt. ; Hegglandslia 9, Rennesøy ; 263 m² ; 3790000 kr; 14411 ; Totalpris: 3 900 958 kr;0 ; Huus & Partners
174354616 ; Bjergsted - Bjergsted- Arealeffektiv og tiltalende leilighet   Påmelding senest 3 timer før annonsert visningstidspunkt! ; Tanangergata 8, Stavanger ; 45 m² ; 2780000 kr; 61778 ; Fellesutg.: 2 185 kr;0 ; DNB Eiendom AS
170116794 ; Engøy - PÅMELDINGSFRIST TIL VISNING kl 12.00 den 07.04. - Stilfull enebolig - Renovert bad - sjøutsikt - Gode solforhold ; Engøyklubben 13, Hundvåg ; 118 m² ; 4250000 kr; 36017 ; Totalpris: 4 357 592 kr;0 ; DNB Eiendom AS
173318890 ; Vaulen - Påmeldingsvisning! Innholdsrik og moderne bolig med innredet kjeller. Mulighet for 4 soverom. ; Gangflåtveien 2D, Stavanger ; 164 m² ; 6640000 kr; 40488 ; Totalpris: 6 816 092 kr;0 ; Krogsveen avd. Stavanger Øst
174254687 ; Jåttå - *Påmeldingsvisning*Kjekk leilighet på Hinna med 2 balkonger | Utsikt | Heis og garasje | ; Laberget 96, Stavanger ; 77 m² ; 3750000 kr; 48701 ; Totalpris: 3 845 092 kr ; 2 264 kr ; DNB Eiendom AS
162400090 ; Lervig brygge pluss - Utsikt av de sjeldne! Selveierleilighet i 12 etasje med 2 soverom- Pluss konsept med gjestehybler, treningsrom, selskaps ; Lervigbrygga 128, Stavanger ; 82 m² ; 5990000 kr; 73049 ; Totalpris: 6 140 920 kr ; 3 691 kr ; EiendomsMegler 1 Madla
174333199 ; Våland - Enebolig i etablert område med pent opparbeidet hage og en praktisk hagestue. ; Torbjørn Hornkloves gate 19, Stavanger ; 184 m² ; 5190000 kr; 28207 ; Totalpris: 5 320 920 kr;0 ; EiendomsMegler 1 Stavanger
174326734 ; Lekker enebolig med omkransende tomt *Flere oppholdsrom *4 sov * Dobbel carport ; Vaulenveien 11, Stavanger ; 194 m² ; 8250000 kr; 42526 ; Totalpris: 8 350 372 kr;0 ; Notar Stavanger
159440546 ; Hamrevigen, Vestre Åmøy - 4 lekre eneboliger med fantastisk sjøutsikt og gode solforhold ; Øvre Hamrane 2, Vestre Åmøy ; 228 m² ; 7600000 - 7800000 kr; 33333 ; Totalpris: 7 656 256 - 7 856 256 kr;0 ; Aktiv Stavanger
174291807 ; Sunde - VISNING 07.04 UTSATT | Rekkehus med barnevennlig beliggenhet. Tilhørende garasje. ; Duganekroken 29, Hafrsfjord ; 107 m² ; 2650000 kr; 24766 ; Totalpris: 2 810 116 kr ; 4 032 kr ; EiendomsMegler 1 Madla
174244847 ; Lekker leilighet med delikate detaljer og sentral beliggenhet ; Nedstrandsgata 46, Stavanger ; 81 m² ; 2900000 kr; 35802 ; Totalpris: 2 973 670 kr;0 ; EiendomsMegler 1 Madla
174243955 ; Familievennlig rekkehus med 3 soverom. Egen garasje og rommelig hage. ; Hegreveien 5G, Hafrsfjord ; 89 m² ; 2590000 kr; 29101 ; Totalpris: 3 017 904 kr ; 4 210 kr ; EiendomsMegler 1 Madla
174239787 ; En meget eksklusiv mulighet m/2 sammenslåtte leiligheter i nybygget Ledaal Park! ca 200 m². 2 p-plasser. 4 sov. 2 stuer ; Ledaal Park - NJ 32 + 33, Stavanger ; 198 m² ; 17750000 kr; 89646 ; Eier (Selveier) ; Leilighet  ; EiendomsMegler 1 Eiganes
174237118 ; Bjergsted - Kampen/Bjergsted - Sentral og velholdt leilighet med 2 soverom. Solrik terrasse. ; Vistegata 22C, Stavanger ; 54 m² ; 2390000 kr; 44259 ; Totalpris: 2 735 058 kr ; 4 481 kr ; EiendomsMegler 1 Madla
174204470 ; Kampen - Moderne og luftig 3-roms leilighet med sentral og populær beliggenhet. Hage, balkong og mulighet for parkering. ; Kampensgata 49, Stavanger ; 60 m² ; 2490000 kr; 41500 ; Totalpris: 2 553 592 kr ; 460 kr ; DNB Eiendom AS
156674345 ; Mosvannet Park - Nyt livet, det er din tur! Salget av lekre leiligheter i Trinn 1 er i gang. Flere solgt, fremdeles mange flotte igjen. ; Tjensvollveien 31, Stavanger ; 59 - 165 m² ; 3800000 - 15500000 kr; 64407 - 93939 ; Totalpris: 3 829 126 - 15 556 626 kr;0 ; EiendomsMegler 1 Eiganes
174135331 ; Storhaug Vest - Lekker 3-roms leilighet med særpreg i oppusset, klassisk murvilla. Stor, felles hage. Sentral og etterspurt beliggenhet. ; Hjelmelandsgata 4, Stavanger ; 94 m² ; Solgt; None ; Totalpris: 3 796 542 kr;0 ; PrivatMegleren Haferkamp & Partnere
173888648 ; Bjergsted - Lekker leilighet i Bjergsted Terrasse på 109 m2 - Betydelig oppgradert i 2018 - Parkering i garasje - To uteplasser - ; Bjergsted Terrasse 10, Stavanger ; 109 m² ; 4950000 kr; 45413 ; Totalpris: 5 149 826 kr ; 4 014 kr ; EiendomsMegler 1 Mariero
172233748 ; Sentrum/Vestre platå - Flott 2-roms endeleilighet m/godt utnyttet areal | Bygget i 2007 | Felles takterrasse | Påmeldingsvisning 13.04 ; Engelsminnegata 16B, Stavanger ; 39 m² ; 2175000 kr; 55769 ; Totalpris: 2 231 310 kr ; 979 kr ; Samsolgt by DNB Eiendom
174008311 ; Rennesøy - VISNING MED PÅMELDING - Arkitekttegnet enebolig med stor hage og strålende sjøutsikt - Båtplass og del av naust. ; Galtaveien 147, Rennesøy ; 123 m² ; 4990000 kr; 40569 ; Totalpris: 5 116 092 kr;0 ; Krogsveen avd. Stavanger
173981060 ; Tasta - Flott familiebolig i rolig og barnevennlig tun på Tasta. Garasje. Store solrike uteplasser. ; Smietunet 7, Stavanger ; 154 m² ; Solgt; None ; Totalpris: 5 423 592 kr;0 ; Krogsveen avd. Stavanger
173995154 ; Forus - BUD FORELIGGER - Meget pen vertikaldelt bolig med oppgradert og moderne standard. Stor garasje og flott uteområde. ; Heddekroken 5, Stavanger ; 150 m² ; Solgt; None ; Totalpris: 4 513 142 kr;0 ; PrivatMegleren Haferkamp & Partnere
173994115 ; Forus - Meget pen og moderne BBL - leilighet over 2 plan - Flott utsikt og gode solforhold. ; Storaberget Terrasse 69, Stavanger ; 114 m² ; 2950000 kr; 25877 ; Totalpris: 3 429 011 kr ; 5 487 kr ; PrivatMegleren Haferkamp & Partnere
173992609 ; Storhaug / Østre bydel - Sentral og lekker leilighet over to plan. Sjøutsikt og parkering på egen tomt. ; Pedersgata 143, Stavanger ; 56 m² ; 1890000 kr; 33750 ; Totalpris: 1 948 792 kr;0 ; PrivatMegleren Haferkamp & Partnere
173991068 ; Stavanger sentrum/Vestre Platå - Sentral beliggenhet - Næringslokale i underetasje - Gode parkeringsmuligheter - 3 soverom ; Løkkeveien 60, Stavanger ; 155 m² ; Solgt; None ; Totalpris: 3 594 020 kr;0 ; Eie Eiendomsmegling - Rogaland Eiendomsmegling AS
158542843 ; Gausel - Moderne rekkehus med attraktiv og barnevennlig beliggenhet | Solrik og skjermet hage | Carport ; Glassbegerveien 38, Stavanger ; 114 m² ; 3460000 kr; 30351 ; Totalpris: 3 547 842 kr;0 ; DNB Eiendom AS
173802387 ; Tasta - PÅMELDINGSVISNING. Leilighet med heis og overbygd balkong. God planløsning og parkering i lukket anlegg. IN-ordning på f ; Rustabakken 25, Stavanger ; 72 m² ; 1625000 kr; 22569 ; Totalpris: 3 659 535 kr ; 7 037 kr ; EiendomsMegler 1 Stavanger
173973648 ; Stavanger sentrum/ Gamle Stavanger - Sjarmerende enebolig med renoveringsbehov i hjertet av gamle Stavanger. Koselig og skjermet bakgård. ; John Haugvaldstads gate 28, Stavanger ; 81 m² ; 2350000 kr; 29012 ; Totalpris: 2 422 770 kr;0 ; Eie Eiendomsmegling - Rogaland Eiendomsmegling AS
173971093 ; Madlamark - En rommelig, lys toppleilighet med solrik, innglasset balkong. 3 soverom. ; Norvald Frafjordsgate 11 b, Hafrsfjord ; 87 m² ; 2750000 kr; 31609 ; Totalpris: 3 041 750 kr ; 4 199 kr ; Huus & Partners
150946068 ; Byggestart vedtatt! ; Gjerdebakken, Stavanger ; not found ; not found; None ; Andel ; Leilighet, Rekkehus ; Ineo Eiendom As
173963270 ; Fogn - Unikt Småbruk/gartneri med idyllisk beliggenhet. 4 drivhus. Fyrhus/lager og enebolig. ca. 63 mål. Produksjon av tomater ; Vestre Fognavegen 227, Fogn ; 124 m² ; 3850000 kr; 31048 ; Totalpris: 3 947 420 kr;0 ; EiendomsMegler 1 Madla
173953658 ; Kvernevik - Enebolig med alt på ett plan - Gjennomgående god standard - Barnevennlig område ; Krykkjeveien 32, Hafrsfjord ; 116 m² ; 4200000 kr; 36207 ; Totalpris: 4 317 670 kr;0 ; Eiendomsmegler Vest Stavanger
173785908 ; Vikevåg - Oppusset enebolig med god standard og tomt på over 1 mål. 4 soverom. Rolige og maritime omgivelser. ; Håvasteinveien 43, Rennesøy ; 115 m² ; 3690000 kr; 32087 ; Totalpris: 3 797 922 kr;0 ; Notar Stavanger
173879028 ; Åsen - Moderne og trivelig familiebolig med solrik og luftig plassering i barnevennlig boligområde. ; Svend Foyns gate 103, Stavanger ; 131 m² ; Solgt; None ; Totalpris: 3 476 092 kr;0 ; DNB Eiendom AS
166618490 ; Hillevåg - Ny og ubebodd 3-roms selveierleil. i 5.etg. Innglasset terrasse, balkong og nydelig utsikt mot Gandsfjorden ; Hamneveien 21, Stavanger ; 80 m² ; 4500000 kr; 56250 ; Totalpris: 4 613 722 kr ; 2 249 kr ; DNB Eiendom AS
168900750 ; Vestre Åmøy - Moderne eneboliger i nydelige omgivelser kun et steinkast fra sjøen. ; Båsen 1 A og 1 B, Vestre Åmøy ; 124 m² ; 3900000 kr; 31452 ; Totalpris: 3 922 798 kr;0 ; M2 Tomteutvikling AS
173920376 ; Våland - PÅMELDING TIL VISNING! - Enebolig m/ behov for oppussing.  Flott beliggenhet m/ nydelig utsikt. Romslig hage og garasje. ; Valkyrjegata 18, Stavanger ; 124 m² ; 4200000 kr; 33871 ; Totalpris: 4 319 020 kr;0 ; Eie Eiendomsmegling - Rogaland Eiendomsmegling AS
155697825 ; GAUSEL - Lys og delikat 3-romsleilighet med stor solrik balkong med utsikt! | Oppusset | 2 soverom | Garasje ; Kisteberglia 7B, Stavanger ; 79 m² ; 2490000 kr; 31519 ; Totalpris: 2 612 702 kr ; 4 760 kr ; DNB Eiendom AS
172059321 ; Stavanger Øst - PÅMELDING TIL VISNING. Bo urbant i lekker vestvendt eierleilighet med gjennomgående høy standard. ; Lervigbrygga 132, Stavanger ; 82 m² ; 6150000 kr; 75000 ; Totalpris: 6 313 592 kr ; 3 888 kr ; Krogsveen avd. Stavanger
173782652 ; Madlamark - Velholdt leilighet med en fantastisk flott utsikt. Innglasset hagestue og heis i bygget. ; Jernalderveien 55A, Hafrsfjord ; 82 m² ; 2450000 kr; 29878 ; Totalpris: 2 887 435 kr ; 4 505 kr ; EiendomsMegler 1 Stavanger
160661626 ; Østre bydel - Moderne leilighet i maritime og urbane omgivelser | Parkering i lukket anlegg | Innbetalt fellesgjeld ; Breivikveien 21B, Stavanger ; 37 m² ; 2150000 kr; 58108 ; Totalpris: 2 151 032 kr ; 1 654 kr ; DNB Eiendom AS
173804613 ; Stavanger sentrum - Frist for påmelding til visning 14. april kl 12.00. Stor og flott 3-roms leilighet i 7. etasje. Solrik terrasse med fant ; Bergelandsgata 49, Stavanger ; 110 m² ; 6700000 kr; 60909 ; Totalpris: 6 897 766 kr ; 2 735 kr ; DNB Eiendom AS
156917723 ; Kampen/Stokka - PÅMELDINGSVISNING, VI ER KLAR I PÅSKEN OM ØNSKELIG! Innflytningsklar, sentrumsnær leilighet med gangsavstand til det mes ; Misjonsveien 6B, Stavanger ; 57 m² ; 2450000 kr; 42982 ; Totalpris: 2 723 261 kr ; 4 362 kr ; EiendomsMegler 1 Borettslagsmegleren
173866393 ; Kristianslyst - Påmeldings visning til kl. 12.00 den 07.04 Enebolig med stor tomt - Dobbel garasje - MC garasje - Flott opparbeidet tomt ; Skolevollen 5, Stavanger ; 256 m² ; 6500000 kr; 25391 ; Totalpris: 6 663 842 kr;0 ; DNB Eiendom AS
173859216 ; Stavanger sentrum - Lekker 3-romsleilighet med god planløsning og meget sentral beliggenhet i rolig gate. ; Mellomgata 5 A, Stavanger ; 73 m² ; 3150000 kr; 43151 ; Totalpris: 3 240 292 kr ; 1 000 kr ; PrivatMegleren Haferkamp & Partnere
173858596 ; Godeset - Pen og innholdsrik vertikaldelt bolig med gode solforhold. Nyere kjøkken og våtrom. Ingen gjennomgangstrafikk. ; Grasheibakken 12, Stavanger ; 154 m² ; 4500000 kr; 29221 ; Totalpris: 4 566 335 kr ; 5 117 kr ; Eie Eiendomsmegling - Rogaland Eiendomsmegling AS
110041009 ; Moderne leiligheter midt i Judaberg sentrum - 2 soverom - nøkkelferdig! Fra kun kr 2.450.000,- ; Judaberg, Finnøy ; 70 - 73 m² ; 2450000 - 2550000 kr; 35000 - 34932 ; Totalpris: 2 450 000 - 2 550 000 kr;0 ; BoligPartner - Ryfylke
173706570 ; Eiganes - Vestre Platå - VISNING MED PÅMELDING! Fantastisk leilighet i 2.etg med sentral beliggenhet på Eiganes - 2 solrike balkonger ; Solbakkeveien 10, Stavanger ; 32 m² ; 1990000 kr; 62188 ; Totalpris: 2 041 092 kr ; 600 kr ; DNB Eiendom AS
172903690 ; Stavanger Øst - Arealeffektiv og lekker eierleilighet med sentral beliggenhet | Nylig modernisert | Heis ; Haugesundsgata 7D, Stavanger ; 21 m² ; 1250000 kr; 59524 ; EiendomsMegler 1 Stavanger;0 ; Eier (Selveier) • Leilighet
173745171 ; Hundvåg - Stor og innholdsrik enebolig | Godkjent utleie | Dobbel garasje ; Drivgarnsveien 29 A og B, Hundvåg ; 223 m² ; 6800000 kr; 30493 ; Totalpris: 6 985 272 kr;0 ; Notar Stavanger
173831633 ; Fridas hage: Prosjekterte leiligheter i en grønn og frodig oase nær sentrum ; Frida Hansens vei 1-3, Stavanger ; 46 m² ; 2400000 kr; 52174 ; Totalpris: 2 406 060 kr;0 ; Eie Eiendomsmegling - Espen Eide & Partnere AS
172064532 ; Hundvåg - En mulighet av de sjeldne! Idyllisk beliggenhet i fremste rekke mot sjøen. Påbygget i 2008. Gjennomgående bra standard. ; Dalasteinveien 39, Hundvåg ; 138 m² ; 5450000 kr; 39493 ; Totalpris: 5 587 420 kr;0 ; EiendomsMegler 1 Eiganes
173803979 ; Gausel - Flott familiebolig med 3 soverom og 2 bad - Populært og barnevennlig nabolag- Garasje med bod - IN-ordning ; Glassbegerveien 117, Stavanger ; 97 m² ; 1690000 kr; 17423 ; Totalpris: 3 741 275 kr ; 11 009 kr ; EiendomsMegler 1 Stavanger
173803217 ; Gausel - Moderne rekkehus med flott beliggenhet mot friområde. Boligen har en god standard, to bad og tre soverom. Garasje ; Glassbegerveien 173, Stavanger ; 97 m² ; 3850000 kr; 39691 ; Totalpris: 3 869 186 kr ; 3 187 kr ; Proaktiv Stavanger
173795972 ; Åsen - Enebolig i ettertraktet, rolig gate. Utsikt. Oppussing kan påregnes. ; Åsveien 15, Stavanger ; 162 m² ; 4350000 kr; 26852 ; Totalpris: 4 459 920 kr;0 ; EiendomsMegler 1 Madla
173775159 ; Stavanger sentrum/ Holmen - Lys og pen selveierleilighet i 3.etasje med beliggenhet midt i smørøyet. Lave felleskostnader. ; Nedre Holmegate 9C, Stavanger ; 29 m² ; 1790000 kr; 61724 ; Totalpris: 1 843 770 kr ; 807 kr ; Eie Eiendomsmegling - Rogaland Eiendomsmegling AS
173767673 ; Eiganes - Nydelig leilighet med 2 soverom og balkong med gode solforhold - Nedbetalt fellesgjeld - Heis - Parkering i anlegg ; Ytre Eiganesveien 19, Stavanger ; 57 m² ; Solgt; None ; Totalpris: 2 858 032 kr ; 3 509 kr ; PrivatMegleren Haferkamp & Partnere
172869237 ; Storhaug - *PÅMELDINGSVISNING*Leilighet med utleid oppusset kjellerareal (ikke godkjent). Oppusing bør påregnes av 1.etg og fasade. ; Taugata 25, Stavanger ; 106 m² ; 2290000 kr; 21604 ; Totalpris: 2 348 592 kr;0 ; DNB Eiendom AS
173716864 ; Godalen - 3 roms leilighet med flott utsikt. Påmelding til visning senest 2 timer før ; Østre Ring 67C, Stavanger ; 86 m² ; 2890000 kr; 33605 ; Fellesutg.: 3 300 kr;0 ; DNB Eiendom AS
173710868 ; Kvernevik- Flott og innbydende leilighet i 2. etasje med god planløsning og fritt utsyn. - Gode solforhold. ; Gulnebbveien 11H, Hafrsfjord ; 55 m² ; 2050000 kr; 37273 ; Totalpris: 2 211 520 kr ; 3 300 kr ; Krogsveen avd. Mariero
170988939 ; PÅMELDING TIL VISNING. Vertikaldelt tomannsbolig i et rolig og attraktivt boligområde. 4 soverom. ; Fregattveien 20, Hundvåg ; 101 m² ; 2840000 kr; 28119 ; Totalpris: 2 912 342 kr;0 ; Krogsveen avd. Stavanger
173538820 ; Saxemarka - Lys og romslig brl leilighet i 3.etg med solrik sør/vestvendt balkong. Bad fra 2012. Pen utsikt mot grøntområde. P-plass ; Peder Saxes gate 19, Stavanger ; 75 m² ; 2100000 kr; 28000 ; Totalpris: 2 587 165 kr ; 5 377 kr ; EiendomsMegler 1 Mariero
163185347 ; Innseilingå - Bo i sjøkanten med fantastisk utsikt!  - 108 kvm leilighet i 5. etasje - 2 soverom - Ta kontakt for visning i påsken ; Tjuvholmveien 52, Stavanger ; 104 m² ; 7200000 kr; 69231 ; Totalpris: 7 386 800 kr ; 3 619 kr ; EiendomsMegler 1 Madla
173643584 ; TJENSVOLL - Kjekk 3-roms leilighet i blokkens 3. etasje. Nydelig utsikt mot Stokkavatnet. Carport. 2 balkonger. ; Trysil-Knuts gate 6, Stavanger ; 74 m² ; 2500000 kr; 33784 ; Totalpris: 2 746 065 kr ; 4 734 kr ; Krogsveen avd. Stavanger Øst
173561443 ; Hillevåg - Pen og romslig selveier med balkong og p-plass. Sentral plassering nær bussveien. ; Nordlia 10B, Stavanger ; 63 m² ; 2400000 kr; 38095 ; Totalpris: 2 461 170 kr ; 600 kr ; EiendomsMegler 1 Mariero
105854318 ; Innflyttingsklar leilighet med 2 sov, vannbåren varme i gulv +++! Kun kr 1.990.000,- Lave omk.! Visning etter avtale! ; Veslelia 20A og B, Finnøy ; 71 m² ; 1990000 kr; 28028 ; Totalpris: 2 039 750 kr;0 ; BoligPartner - Ryfylke
158770512 ; NORE SUNDE - Kjøp nytt hus med overtakelse ila 2020!| Bo i den nye bydelen like ved friområder, ferskvann og hav |10 min fra sentrum | Øster Hus| Ta kontakt for privatvisning! ; Nore Sunde Rekkehus, Hafrsfjord ; 67 - 126 m² ; 3090000 - 4590000 kr; 46119 - 36429 ; Totalpris: 3 129 512 - 4 633 362 kr;0 ; DNB Eiendom AS
170931606 ; Godeset - Lys og innholdsrik familiebolig i meget barnevennlig nabolag - 2 pene bad- vaskerom - 4 soverom - 2 stuer - ; Grasmyrveien 19, Stavanger ; 151 m² ; 3990000 kr; 26424 ; Totalpris: 3 990 960 kr ; 4 545 kr ; EiendomsMegler 1 Mariero
173653903 ; Stor og attraktiv leilighet med solrik balkong. Mulighet for 3 soverom. ; Morgedalsveien 20, Stavanger ; 96 m² ; 2800000 kr; 29167 ; Totalpris: 2 946 750 kr ; 5 312 kr ; EiendomsMegler 1 Madla
173292210 ; LASSA - En meget innholdsrik og betydelig oppgradert vertikaltdelt familiebolig. Beliggende mellom Stokka og Eiganes i blindvei ; Lassakroken 11A, Stavanger ; 112 m² ; 3890000 kr; 34732 ; Totalpris: 3 988 420 kr;0 ; EiendomsMegler 1 Eiganes
173244662 ; Gausel - Innbydende toppleilighet med 2 soverom,  (mulighet for 3). Vannbåren gulvvarme samt solrik balkong. Flott utsikt! Heis! ; Kviebakken 115C, Stavanger ; 82 m² ; 2500000 kr; 30488 ; Totalpris: 3 113 072 kr ; 6 701 kr ; EiendomsMegler 1 Stavanger
171455289 ; Hundvåg - Elegant oppusset enebolig på hjørnetomt i populært område. Svært barnevnl. med nærhet til skoler og barnehage. Garasje. ; Djubingen 2, Hundvåg ; 178 m² ; 4990000 kr; 28034 ; Totalpris: 5 115 920 kr;0 ; EiendomsMegler 1 Hundvåg
173628974 ; Gausel - Innholdsrik 3-roms leilighet i attraktivt område - Heis - Garasje - God bodplass - Barnevennlig område ; Traktbegerveien 4, Stavanger ; 85 m² ; 2290000 kr; 26941 ; Totalpris: 3 011 685 kr ; 9 866 kr ; Eie Eiendomsmegling Sandnes
173621635 ; Dronningåsen - Flott selveierleilighet med vestvendt terrasse og utsikt - 2 soverom - Heis - Parkering i lukket anlegg ; Dronningåsen 75, Stavanger ; 86 m² ; 3490000 kr; 40581 ; Totalpris: 3 578 420 kr ; 2 555 kr ; EiendomsMegler 1 Mariero
158687461 ; Husene i skogen - Kjekke innholdsrike leiligheter sentralt på Hinna! ; Husene i skogen - Trinn 2, Stavanger ; 54 - 137 m² ; 722500 - 2771250 kr; 13380 - 20228 ; Totalpris: 2 902 371 - 11 112 496 kr;0 ; EiendomsMegler 1 Nybygg Forus
148622698 ; Gamle Jåttåvågen -  En sjelden sjanse på Hinna. 3 store og innholdsrike eneboliger er nå for salg! ; Gamle Jåttåvågen, Stavanger ; 206 m² ; 13790000 kr; 66942 ; Totalpris: 13 953 756 kr;0 ; EiendomsMegler 1 Nybygg Forus
158700144 ; NORE SUNDE - Lekre, nye leiligheter klar til overtakelse! | Høy standard, garasjeplass og solfylte uteplasser | Øster Hus| Ta kontakt for privatvisning! ; Nore Sunde Leiligheter BB8, Hafrsfjord ; 71 - 136 m² ; 3460000 - 10900000 kr; 48732 - 80147 ; Totalpris: 3 483 112 - 10 936 462 kr;0 ; DNB Eiendom AS
158718789 ; NORE SUNDE - Leilighet i 1.etg med stor, privat hage vendt sørover | Flytt inn senest 20. des! |Øster Hus | Ta kontakt for privatvisning! ; Nore Sunde BKS2, Hafrsfjord ; 52 m² ; 2750000 kr; 52885 ; Totalpris: 2 773 692 kr;0 ; DNB Eiendom AS
119617099 ; Vestre Åmøy - Hamrevigen! Unike eneboliger i sjøkanten ; ØVRE HAMRANE 6, Vestre Åmøy ; 144 - 228 m² ; 5190000 - 7800000 kr; 36042 - 34211 ; Totalpris: 5 222 256 - 7 856 256 kr;0 ; Jadarhus AS
173560428 ; Hinna - Nøkkelferdig og moderne enebolig med høy standard. *Dobbel garasje *God planløsning * Attraktiv beliggenhet *Utsikt ; Furulunden 7B, Stavanger ; 193 m² ; 9190000 kr; 47617 ; Totalpris: 9 266 222 kr;0 ; DNB Eiendom AS
171087799 ; 5 eneboliger med høy standard og svært ettertraktet beliggenhet ; Dykjelbakken 6, Stavanger ; not found ; not found; None ; Eier (Selveier) ; Enebolig ; Nse Bolig As
173522370 ; Byhaugen - Bud foreligger! Moderne og delikat leilighet i attraktivt område. Tre soverom og solrik terrasse og hage. ; Solandsbakken 66B, Stavanger ; 81 m² ; 3200000 kr; 39506 ; Totalpris: 3 295 642 kr;0 ; PrivatMegleren Bergesen & Partnere
173519962 ; Stavanger Øst - VISNING 06.04 - Flott og velholdt 3-roms endeleilighet med 2 balkonger og herlig sjøutsikt. ; Verven 10, Stavanger ; 73 m² ; 4450000 kr; 60959 ; Totalpris: 4 572 792 kr ; 2 502 kr ; PrivatMegleren Bergesen & Partnere
158177279 ; Lev vel på Vålandstun! Byggingen er i gang! Eksklusive leiligheter med det lille ekstra. ; Vålandstun, Stavanger ; 47 - 101 m² ; 3790000 - 10990000 kr; 80638 - 108812 ; Totalpris: 3 790 000 - 10 990 000 kr;0 ; Ineo Eiendom As
173235678 ; Storhaug - Kjekk 2-roms leilighet med sentrumsnær beliggenhet. Gangavstand til "alt". ; Nedstrandsgata 22, Stavanger ; 49 m² ; 1890000 kr; 38571 ; Totalpris: 1 938 420 kr ; 833 kr ; EiendomsMegler 1 Østre Bydel
173443916 ; BEKKEFARET-PÅMELDNINGSVISNING TIL MEGLER - Lekkert, luftig rekkehus med fantastisk utsikt - solrik balkong, terrasse og p-plass - Oppgradert i 2014-2018. ; Robert Scotts gate 62, Stavanger ; 119 m² ; Solgt; None ; Totalpris: 3 749 820 kr;0 ; Eiendomsmegler Vest Stavanger
167388565 ; Byhaugen - Enderekkehus med attraktiv beliggenhet. Utbygd kjøkken og innredet kjellerstue. ; Esbjerggata 10, Stavanger ; 102 m² ; 2890000 kr; 28333 ; Totalpris: 3 066 602 kr ; 5 624 kr ; Aktiv Stavanger
143487199 ; Kjekk bolig i rolig nabolag, tilrettelagt for husbanklån ; Storehamn 28, Finnøy ; 127 m² ; 3990000 kr; 31417 ; Eier (Selveier) ; Enebolig ; Ladstein Bygg AS
95899100 ; Lervig Brygge Start - SALGSSUKSESS - Kun 1 leilighet igjen. Innflyttingsklar nå! ; Lervig Brygge Start, Stavanger ; 69 m² ; 3550000 kr; 51449 ; Totalpris: 3 638 750 kr;0 ; Selvaag Bolig AS
173305358 ; Tjensvoll - Fin leilighet med god planløsning. Stor og solrik balkong. 2 soverom. Garasjeplass med el-bil lader. ; Professor Hansteens gate 55, Stavanger ; 79 m² ; 2390000 kr; 30253 ; Totalpris: 2 749 026 kr ; 5 757 kr ; EiendomsMegler 1 Stavanger
173384649 ; Bekkefaret - Innholdsrikt rekkehus med 3 soverom. Pent baderom og kjøkken. Garasje. Solrike uteplasser. ; Andrées gate 1C, Stavanger ; 111 m² ; 2950000 kr; 26577 ; Totalpris: 3 283 935 kr ; 4 305 kr ; EiendomsMegler 1 Madla
